store_name,birthdate,purchases_qty
G Coffee @ USJ 89q,1973-04-09 00:00:00,5
G Coffee @ USJ 89q,2004-08-31 00:00:00,4
G Coffee @ USJ 89q,2007-08-05 00:00:00,4
G Coffee @ USJ 89q,1989-10-20 00:00:00,4
G Coffee @ USJ 89q,1975-06-29 00:00:00,4
G Coffee @ USJ 89q,1972-04-12 00:00:00,4
G Coffee @ USJ 89q,1998-01-27 00:00:00,4
G Coffee @ USJ 89q,1990-10-27 00:00:00,4
G Coffee @ USJ 89q,1995-10-21 00:00:00,4
G Coffee @ USJ 89q,1994-01-08 00:00:00,3
G Coffee @ USJ 89q,1974-02-03 00:00:00,3
G Coffee @ USJ 89q,1983-08-17 00:00:00,3
G Coffee @ USJ 89q,2009-02-03 00:00:00,3
G Coffee @ USJ 89q,1985-06-17 00:00:00,3
G Coffee @ USJ 89q,1993-01-13 00:00:00,3
G Coffee @ USJ 89q,1970-10-20 00:00:00,3
G Coffee @ USJ 89q,1987-04-02 00:00:00,3
G Coffee @ USJ 89q,2000-03-01 00:00:00,3
G Coffee @ USJ 89q,1983-07-03 00:00:00,3
G Coffee @ USJ 89q,1991-07-23 00:00:00,3
G Coffee @ USJ 89q,2008-02-25 00:00:00,3
G Coffee @ USJ 89q,2002-12-18 00:00:00,3
G Coffee @ USJ 89q,1994-05-10 00:00:00,3
G Coffee @ USJ 89q,1985-06-22 00:00:00,3
G Coffee @ USJ 89q,2003-04-21 00:00:00,3
G Coffee @ USJ 89q,2004-07-25 00:00:00,3
G Coffee @ USJ 89q,1978-06-10 00:00:00,3
G Coffee @ USJ 89q,1970-09-20 00:00:00,3
G Coffee @ USJ 89q,1983-12-29 00:00:00,3
G Coffee @ USJ 89q,1982-09-13 00:00:00,3
G Coffee @ USJ 89q,1980-09-16 00:00:00,3
G Coffee @ USJ 89q,1977-04-27 00:00:00,3
G Coffee @ USJ 89q,1987-12-27 00:00:00,3
G Coffee @ USJ 89q,1994-02-18 00:00:00,3
G Coffee @ USJ 89q,2008-10-25 00:00:00,3
G Coffee @ Kondominium Putra,1993-12-11 00:00:00,4
G Coffee @ Kondominium Putra,1993-01-29 00:00:00,4
G Coffee @ Kondominium Putra,1985-05-30 00:00:00,4
G Coffee @ Kondominium Putra,1968-08-02 00:00:00,4
G Coffee @ Kondominium Putra,2001-04-25 00:00:00,4
G Coffee @ Kondominium Putra,1983-02-06 00:00:00,4
G Coffee @ Kondominium Putra,1966-05-22 00:00:00,4
G Coffee @ Kondominium Putra,1978-04-12 00:00:00,3
G Coffee @ Kondominium Putra,2007-03-28 00:00:00,3
G Coffee @ Kondominium Putra,1972-09-16 00:00:00,3
G Coffee @ Kondominium Putra,1980-04-29 00:00:00,3
G Coffee @ Kondominium Putra,1970-01-30 00:00:00,3
G Coffee @ Kondominium Putra,1994-08-21 00:00:00,3
G Coffee @ Kondominium Putra,1972-05-19 00:00:00,3
G Coffee @ Kondominium Putra,1975-01-04 00:00:00,3
G Coffee @ Kondominium Putra,1972-12-23 00:00:00,3
G Coffee @ Kondominium Putra,1986-10-06 00:00:00,3
G Coffee @ Kondominium Putra,1998-08-23 00:00:00,3
G Coffee @ Kondominium Putra,1969-08-18 00:00:00,3
G Coffee @ Kondominium Putra,1968-11-23 00:00:00,3
G Coffee @ Kondominium Putra,1982-04-04 00:00:00,3
G Coffee @ Kondominium Putra,1988-05-29 00:00:00,3
G Coffee @ Kondominium Putra,1983-11-06 00:00:00,3
G Coffee @ Kondominium Putra,2007-06-18 00:00:00,3
G Coffee @ Kondominium Putra,1989-04-26 00:00:00,3
G Coffee @ Kondominium Putra,2002-01-18 00:00:00,3
G Coffee @ Kondominium Putra,1994-02-03 00:00:00,3
G Coffee @ Kondominium Putra,2003-05-23 00:00:00,3
G Coffee @ Kondominium Putra,1986-11-13 00:00:00,3
G Coffee @ Kondominium Putra,1988-04-08 00:00:00,3
G Coffee @ Kondominium Putra,1970-10-06 00:00:00,3
G Coffee @ Kondominium Putra,1992-10-26 00:00:00,3
G Coffee @ Kondominium Putra,1998-08-14 00:00:00,3
G Coffee @ Kondominium Putra,1998-09-29 00:00:00,3
G Coffee @ Kondominium Putra,1977-07-20 00:00:00,3
G Coffee @ USJ 57W,2006-09-15 00:00:00,4
G Coffee @ USJ 57W,2001-08-20 00:00:00,4
G Coffee @ USJ 57W,1994-08-11 00:00:00,4
G Coffee @ USJ 57W,2001-07-02 00:00:00,4
G Coffee @ USJ 57W,2002-06-11 00:00:00,4
G Coffee @ USJ 57W,2003-06-25 00:00:00,4
G Coffee @ USJ 57W,1990-05-31 00:00:00,4
G Coffee @ USJ 57W,1974-08-28 00:00:00,4
G Coffee @ USJ 57W,2008-12-15 00:00:00,3
G Coffee @ USJ 57W,2003-02-23 00:00:00,3
G Coffee @ USJ 57W,2005-11-29 00:00:00,3
G Coffee @ USJ 57W,1971-02-27 00:00:00,3
G Coffee @ USJ 57W,1987-11-01 00:00:00,3
G Coffee @ USJ 57W,1966-02-04 00:00:00,3
G Coffee @ USJ 57W,2004-07-15 00:00:00,3
G Coffee @ USJ 57W,1984-07-24 00:00:00,3
G Coffee @ USJ 57W,1978-03-04 00:00:00,3
G Coffee @ USJ 57W,1980-11-02 00:00:00,3
G Coffee @ USJ 57W,1978-08-04 00:00:00,3
G Coffee @ USJ 57W,1972-11-04 00:00:00,3
